id    | role    | slots                          | source                                   | destination                              | 
1822  | rider   |                            [9] | (-122.00580534223242, 37.55298619251759) | (-122.09219587679635, 37.36155923396691) | 
1823  | rider   |                   [10, 11, 12] | (-121.97533359676966, 37.55195439063707) | (-122.23069488291613, 37.48726289998538) | 
1824  | rider   |                   [10, 11, 12] | (-121.93525496868648, 37.50145655762932) | (-122.26805929595555, 37.49419434226439) | 
1825  | driver  |                    [9, 10, 11] | (-121.95396478139381, 37.53151036452973) | (-122.16337569809427, 37.465613932131404) | 
1826  | driver  |                       [11, 12] | (-121.95328324537495, 37.532299116364186) | (-122.16525328688259, 37.45674522987595) | 
1827  | rider   |                      [4, 5, 6] | (-122.00808904240176, 37.56401389730088) | (-122.10448571022741, 37.38604044640207) | 
1828  | driver  |                   [11, 12, 13] | (-122.00714321439976, 37.55850301600409) | (-122.08102423080179, 37.38865381811009) | 
1829  | rider   |                      [6, 7, 8] | (-121.958217438222, 37.531510346674274) | (-122.26907314778231, 37.50729334872029) | 
1830  | driver  |                      [3, 4, 5] | (-121.97595027283046, 37.557069232390546) | (-122.14330718445306, 37.467394043982395) | 
1831  | rider   |                   [1, 2, 3, 4] | (-121.9777382633772, 37.557872644303025) | (-122.14048378796832, 37.46759583264445) | 
1832  | driver  |                      [7, 8, 9] | (-121.97727919951123, 37.557068204500496) | (-122.18240210854165, 37.489569896518354) | 
1833  | driver  |                      [5, 6, 7] | (-121.93742294524351, 37.50774415449104) | (-122.14954505787613, 37.47696103691603) | 
1834  | rider   |                      [7, 8, 9] | (-122.00658135267113, 37.55994136231587) | (-122.2341862319265, 37.494379114433684) | 
1835  | rider   |                      [6, 7, 8] | (-122.00478153680469, 37.55893819609337) | (-122.17499108223633, 37.47646059099398) | 
1836  | rider   |           [6, 7, 8, 9, 10, 11] | (-121.95180845340901, 37.52782176587427) | (-122.1121213272905, 37.38228350898693) | 
1837  | driver  |                   [5, 6, 7, 8] | (-121.98027704010109, 37.55944219176727) | (-122.13091058966688, 37.4703255388947) | 
1838  | rider   |                        [9, 10] | (-121.97744201759, 37.55736817051389) | (-122.13926378582532, 37.46963265083801) | 
1839  | rider   |                   [3, 4, 5, 6] | (-121.97992739908081, 37.55350849039378) | (-122.15270668369725, 37.47558186295421) | 
1840  | driver  |                      [5, 6, 7] | (-121.940942446781, 37.50020977342778) | (-122.15360059412879, 37.47497279440445) | 
1841  | driver  |                   [4, 5, 6, 7] | (-122.00698514655886, 37.55819964085953) | (-122.07935528810259, 37.34652215695797) | 
1842  | driver  |                      [6, 7, 8] | (-121.97915324967602, 37.558712789071215) | (-122.23401974364876, 37.468147533413905) | 
1843  | driver  |                       [11, 12] | (-121.95632347504116, 37.52690818141116) | (-122.23711223188812, 37.50038376980898) | 
1844  | driver  |                   [12, 13, 14] | (-121.95109079271052, 37.533021414980205) | (-122.19683051103681, 37.4911809344835) | 
1845  | driver  |                  [7, 8, 9, 10] | (-121.93628086337958, 37.50157651177388) | (-122.23519933048746, 37.45857106672961) | 
1846  | driver  |                           [10] | (-122.00584201355139, 37.55851899720222) | (-122.22387514076057, 37.46535133556968) | 
1847  | driver  |                      [6, 7, 8] | (-121.93702441983096, 37.503927693696966) | (-122.20220955633188, 37.50347114944616) | 
1848  | rider   |             [3, 4, 5, 6, 7, 8] | (-121.95528025864454, 37.52578654960963) | (-122.11043532529968, 37.38997487381992) | 
1849  | driver  |                            [7] | (-121.95799248392552, 37.53217579803164) | (-122.09584119851327, 37.39345073391999) | 
1850  | rider   |                   [1, 2, 3, 4] | (-121.97756855593408, 37.55920481943326) | (-122.11437965472717, 37.38345065637245) | 
1851  | driver  |                       [11, 12] | (-122.00648115415802, 37.56432712747596) | (-122.26614660145947, 37.49866181988421) | 
1852  | rider   |                   [10, 11, 12] | (-121.97932533280971, 37.55197150951213) | (-122.12422395505885, 37.47446370439786) | 
1853  | driver  |                     [8, 9, 10] | (-121.93982578611559, 37.502047908155184) | (-122.14107814138373, 37.46861508557014) | 
1854  | rider   |                     [8, 9, 10] | (-121.93481178558721, 37.503942696445684) | (-122.11573617247475, 37.49052885993733) | 
1855  | rider   |                       [10, 11] | (-121.98003824069369, 37.55687129855665) | (-122.22271093597435, 37.491156745907304) | 
1856  | driver  |                   [6, 7, 8, 9] | (-121.94292152287241, 37.507998503938914) | (-122.22918159667104, 37.52597769328906) | 
1857  | rider   |                            [9] | (-121.95542139130865, 37.530857076838984) | (-122.13797909339935, 37.435082763304926) | 
1858  | driver  |                       [11, 12] | (-122.00282871683174, 37.56213941216324) | (-122.06310529891782, 37.36885488134853) | 
1859  | rider   |                   [3, 4, 5, 6] | (-121.93478114608435, 37.500844148013016) | (-122.15817384419918, 37.48448265080544) | 
1860  | rider   |                         [8, 9] | (-121.93904808400181, 37.501220920870786) | (-122.08710817155227, 37.3850384113713) | 
1861  | rider   |                            [6] | (-121.94163285249329, 37.50403167681339) | (-122.09647937117703, 37.37010895688791) | 
1862  | driver  |                    [9, 10, 11] | (-121.97758282141557, 37.554206387379644) | (-122.26138319154961, 37.46296312049097) | 
1863  | rider   |                  [7, 8, 9, 10] | (-122.0096670450272, 37.55645921078133) | (-122.2255486225384, 37.486685067072415) | 
1864  | driver  |                           [10] | (-121.97380691648779, 37.55427644048238) | (-122.25003734863232, 37.46901459369414) | 
1865  | rider   |                         [7, 8] | (-122.00457279870741, 37.55249006350193) | (-122.11913277814273, 37.3669139313003) | 
1866  | driver  |                   [6, 7, 8, 9] | (-121.97631675290793, 37.55657073437515) | (-122.16673238153895, 37.44463217559809) | 
1867  | rider   |                           [11] | (-122.00440607044911, 37.56274158128135) | (-122.05645346927534, 37.40283615583534) | 
1868  | driver  |                      [4, 5, 6] | (-121.95515166154517, 37.531600686198786) | (-122.15580274179996, 37.449873783957095) | 
1869  | rider   |                     [8, 9, 10] | (-122.00853652422268, 37.55531484212126) | (-122.10957188694101, 37.46942217590681) | 
1870  | rider   |                        [9, 10] | (-121.9531315921746, 37.53215635452585) | (-122.08817045673565, 37.37859951073523) | 
1871  | rider   |                           [10] | (-122.00587689705986, 37.55707391662339) | (-122.06991294675454, 37.37320875762507) | 
1872  | driver  |                         [8, 9] | (-121.97388804299591, 37.55764505766984) | (-122.2618991018495, 37.47133065403607) | 
1873  | rider   |                            [8] | (-121.95248017956155, 37.53466765933284) | (-122.10968342307227, 37.393006113364585) | 
1874  | rider   |                       [11, 12] | (-121.97794849448134, 37.558051946735105) | (-122.24930333279214, 37.47278754801558) | 
1875  | driver  |                   [6, 7, 8, 9] | (-122.00512230863369, 37.56000079058188) | (-122.14395465711712, 37.46831205109372) | 
1876  | driver  |                     [8, 9, 10] | (-121.97034472761705, 37.55917212900818) | (-122.24980263124952, 37.47603110654405) | 
1877  | rider   |                   [10, 11, 12] | (-121.93471656072745, 37.505346009173344) | (-122.240129769451, 37.47826049871552) | 
1878  | driver  |                        [9, 10] | (-121.97252171686124, 37.55441540643963) | (-122.21671294147679, 37.52394394904932) | 
1879  | rider   |     [8, 9, 10, 11, 12, 13, 14] | (-121.97625421729742, 37.55420051162221) | (-122.26872363776415, 37.48651429747578) | 
1880  | rider   |                        [9, 10] | (-121.98029435128237, 37.55460759014946) | (-122.24252611974516, 37.484436941655986) | 
1881  | rider   |                            [4] | (-121.93832605139187, 37.503130515419684) | (-122.15360365305531, 37.482109248679315) | 
1882  | driver  |                   [6, 7, 8, 9] | (-122.00392685614285, 37.563807144998485) | (-122.1453856121101, 37.47187909579332) | 
1883  | rider   |                     [8, 9, 10] | (-121.97630106048994, 37.558381795063106) | (-122.1314513482889, 37.463477619137464) | 
1884  | rider   |                   [12, 13, 14] | (-122.00720967488948, 37.55782851141353) | (-122.13066088154372, 37.449717843588296) | 
1885  | driver  |                   [4, 5, 6, 7] | (-121.93543034339822, 37.50097409637726) | (-122.0773198315547, 37.4118884003246) | 
1886  | driver  |             [3, 4, 5, 6, 7, 8] | (-122.00607701367647, 37.55706405269243) | (-122.25477732920523, 37.486810254042474) | 
1887  | rider   |                      [6, 7, 8] | (-121.94852444343486, 37.53485285835655) | (-122.134667422674, 37.45930903259828) | 
1888  | rider   |                            [9] | (-121.95817074309093, 37.53420628299457) | (-122.24969506553437, 37.480328472537884) | 
1889  | rider   |                [9, 10, 11, 12] | (-121.97993694892337, 37.56047888149998) | (-122.09321828056561, 37.41610626351596) | 
1890  | driver  |                            [3] | (-121.93530659758645, 37.50081943604895) | (-122.13846206661633, 37.46407515167322) | 
1891  | rider   |                      [7, 8, 9] | (-122.00220168777061, 37.55334941562838) | (-122.08008189281003, 37.39131807442092) | 
1892  | driver  |                      [6, 7, 8] | (-121.9480886142556, 37.52990250234521) | (-122.21533981871134, 37.48212604102202) | 
1893  | rider   |                      [7, 8, 9] | (-121.93974724728713, 37.4983425886908) | (-122.27112221071572, 37.461585618970666) | 
1894  | driver  |                            [9] | (-121.9804851597572, 37.562537562880095) | (-122.23664137277754, 37.48815111044815) | 
1895  | driver  |             [4, 5, 6, 7, 8, 9] | (-121.93977175380725, 37.50695286038628) | (-122.13959750104097, 37.47696603641833) | 
1896  | rider   |               [6, 7, 8, 9, 10] | (-121.94095921331858, 37.5019971900641) | (-122.14514489622326, 37.46899835979855) | 
1897  | driver  |                    [9, 10, 11] | (-121.94091507680051, 37.49786310850067) | (-122.15350157230637, 37.46873139192911) | 
1898  | driver  |        [5, 6, 7, 8, 9, 10, 11] | (-121.97912754017561, 37.56008589066439) | (-122.03986867866337, 37.377709588579535) | 
1899  | rider   |                    [9, 10, 11] | (-121.93852583236072, 37.500168046171915) | (-122.21208354235897, 37.512922131800636) | 
1900  | driver  |           [6, 7, 8, 9, 10, 11] | (-121.93753074683065, 37.508072746796316) | (-122.10834549133229, 37.46349489008666) | 
1901  | driver  |                   [5, 6, 7, 8] | (-121.98023747511463, 37.553856723326916) | (-122.08390191527387, 37.39522689749477) | 
1902  | rider   |                        [9, 10] | (-121.94319308703128, 37.49718782782752) | (-122.12339204835557, 37.50629534817519) | 
1903  | rider   |                      [2, 3, 4] | (-121.97652268513203, 37.55657044134117) | (-122.13976096398294, 37.4716218914226) | 
1904  | driver  |                       [11, 12] | (-122.00706938075994, 37.55752640876491) | (-122.14810223400832, 37.469458220704624) | 
1905  | driver  |                       [11, 12] | (-122.0080668385984, 37.56273197188608) | (-122.05738749183529, 37.38833833582257) | 
1906  | rider   |                       [13, 14] | (-121.93959721927149, 37.50493449208752) | (-122.05891868495301, 37.35085058747169) | 
1907  | driver  |                 [8, 9, 10, 11] | (-121.93908037590452, 37.5025201012029) | (-122.20989337899853, 37.49594453277154) | 
1908  | driver  |                     [8, 9, 10] | (-121.95738028500904, 37.5276073744513) | (-122.1097172143428, 37.45531607670856) | 
1909  | rider   |                   [10, 11, 12] | (-121.97981731662506, 37.55543253707934) | (-122.24198643657282, 37.492718019443664) | 
1910  | driver  |                         [2, 3] | (-121.94534087848105, 37.504503846880134) | (-122.13304321718569, 37.43078946611372) | 
1911  | driver  |                [5, 6, 7, 8, 9] | (-121.9744516068625, 37.56123641367863) | (-122.24149593362345, 37.49387567510791) | 
1912  | rider   |                            [3] | (-121.9593080267878, 37.534491307676554) | (-122.08813213805597, 37.42339238939062) | 
1913  | driver  |                      [6, 7, 8] | (-122.010813042608, 37.55648184870953) | (-122.13235002451947, 37.48618278974075) | 
1914  | driver  |                      [7, 8, 9] | (-121.9544106188105, 37.53038927268632) | (-122.12257749925985, 37.44723817010476) | 
1915  | rider   |                    [9, 10, 11] | (-121.9523073858757, 37.53224530415919) | (-122.08784157983811, 37.39167608458677) | 
1916  | rider   |                   [6, 7, 8, 9] | (-122.00020051667593, 37.555078911078) | (-122.23268509481493, 37.481770664599935) | 
1917  | rider   |                      [6, 7, 8] | (-121.93860646072571, 37.50109542889246) | (-122.17315206101365, 37.47639743476095) | 
1918  | rider   |                         [5, 6] | (-121.97670915190628, 37.558068654270976) | (-122.12857621734338, 37.50677372110301) | 
1919  | driver  |                            [8] | (-121.94212404805006, 37.49553045972292) | (-122.11053650137035, 37.406783065006564) | 
1920  | driver  |                 [8, 9, 10, 11] | (-121.97514824416287, 37.559785097040134) | (-122.23788342094774, 37.48800891708151) | 
1921  | rider   |           [6, 7, 8, 9, 10, 11] | (-121.95230896069609, 37.531908006207) | (-122.08459715409046, 37.385733031545435) | 
1922  | rider   |                         [8, 9] | (-121.93808607056401, 37.50037588099159) | (-122.11472814822444, 37.39663484129925) | 
